,Dateiname,Textnummer,Zeichenanzahl,Titel,Bibliographischer Nachweis,Sprache,Erscheinungsort,Jahr,Postume Nachdrucke,Entsprechungen in Buchwerken,lat,lng
10,1791-Beschreibung_einer_neuen-1,I.10,19340.0,Beschreibung einer neuen Spin- Zwirn- Haspel- Kratz- und Krempel-Maschine zu hundert und mehrern Faden. Nebst 27 Abrissen. Cöthen in der Hochfürstl. priv. Glandenberg. Buchhandlung 1789. (40 Seiten in 4.) 10 Thaler [Besprechung],"in: Physikalisch-ökonomische Bibliothek 16:2 (1791), S. 228–244.",Deutsch,Göttingen,1791,,,51.53443,9.93228
11,1791-Chr_Phil_Ripke-1,I.11,6165.0,Chr. Phil. Ripke – Dissert. de meritis Hamburgensium in historiam naturalem. Hamburgi 1791. 4. (Seiten 31.) [Besprechung],"in: Annalen der Botanick 1:1 (1791), S. 87–91.",Deutsch,Zürich,1791,,,47.36667,8.55
12,1791-Gegenerklaerung-1,I.12,986.0,Gegenerklärung,"in: Intelligenzblatt der Allgemeinen Literatur-Zeitung 20 (12. Februar 1791), Sp. 160.",Deutsch,Jena; Leipzig,1791,,,50.92878,11.5899
13,1791-Gramina_pascua_or-1,I.13,311.0,"Gramina pascua or a Collection of Specimens of the commun pasture grasses by G. Swayne, Vicar of Pucklechurch, Gloucestershire. 6 plates (nemlich aufgeklebte Gräser) Richardson. 1790. fol. [Besprechung]","in: Annalen der Botanick 1:1 (1791), S. 91.",Deutsch,Zürich,1791,,,47.36667,8.55
14,1791-Practical_Observations_on-1,I.14,6093.0,"Practical Observations on the British Grasses best adapted to the laying down, or improving of Meadows, to which is added an enumeration of the British Grasses. by William Curtis. London 1790. 8. (67 Seiten.) [Besprechung]","in: Annalen der Botanick 1:1 (1791), S. 84–87.",Deutsch,Zürich,1791,,,47.36667,8.55
15,1791-Ueber_den_Syenit-1,I.15,6443.0,Ueber den Syenit oder Pyrocilus der Alten; eine mineralogische Berichtigung,"in: Neue Entdeckungen und Beobachtungen aus der Physik, Naturgeschichte und Oekonomie 1 (1791), S. 134–138.",Deutsch,Frankfurt am Main,1791,,,50.11552,8.68417
16,1791-xxx_Ankuendigung_von_Carl-1,I.16,2008.0,[Ankündigung von Carl von Linnés Praelectiones in Ordines naturales plantarum],"in: Annalen der Botanick 1:1 (1791), S. 172–174.",Deutsch,Zürich,1791,,,47.36667,8.55
17,1792-Anzeige-1,I.17,4615.0,Anzeige,"in: Bergmännisches Journal 5:1:2 (Februar 1792), S. 184–188.",Deutsch,Annaberg; Freiberg,1792,,,,
18,1792-Aus_einem_Briefe_des-1,I.18,7053.0,Aus einem Briefe des Hr. v. Humboldt zu Arzberg am Fichtelberge,"in: Bergmännisches Journal 5:2:7 (Juli 1792), S. 74–79.",Deutsch,Annaberg; Freiberg,1792,"Die Jugendbriefe Alexander von Humboldts 1787-1799, herausgegeben von Ilse Jahn und Fritz G. Lange, Berlin: Akademie 1973, S. 207-209.",,,
19,1792-Aus_einem_Briefe_vom-1,I.19,6511.0,Aus einem Briefe vom Herrn von Humboldt dem jüngern in Berlin,"in: Bergmännisches Journal 5:1:6 (Juni 1792), S. 547–552.",Deutsch,Annaberg; Freiberg,1792,"Die Jugendbriefe Alexander von Humboldts 1787-1799, herausgegeben von Ilse Jahn und Fritz G. Lange, Berlin: Akademie 1973, S. 197-199.",,,
20,1792-Beobachtungen_ueber_die-1,I.20,3226.0,Beobachtungen über die Staubfäden der Parnassia palustris,"in: Annalen der Botanick 1:3 (1792), S. 7–9.",Deutsch,Zürich,1792,,,47.36667,8.55
21,1792-Entwurf_zu_einer-1,I.21,11870.0,Entwurf zu einer Tafel für die Wärme-leitende Kraft der Körper,"in: Chemische Annalen für die Freunde der Naturlehre, Arzneygelahrtheit, Haushaltungskunst und Manufacturen 9:1:5 (1792), S. 413–422, 2 Tafeln.",Deutsch,Helmstedt,1792,,,52.2279,11.00985
22,1792-Entwurf_zu_einer-2,I.21,10366.0,Ébauche d’une table sur la propriété conductrice de la chaleur de plusieurs Substances,"in: Observations sur la physique, sur l’histoire naturelle et sur les arts 43:2:4 (Oktober 1793), S. 304–308.",Französisch,Paris,1793,,,48.85341,2.3488
23,1792-Lettre_de_M-1,I.22,2593.0,"Lettre de M. de Homboldt, à M. Delamétherie, sur la couleur verte des végétaux qui ne sont pas exposés à la lumière Ü","in: Observations sur la physique, sur l’histoire naturelle et sur les arts 40:1:2 (Februar 1792), S. 154–155.",Französisch,Paris,1792,"Humboldt. Correspondance inédite scientifique et littéraire, herausgegeben von Jean Bernard Marie Alexandre Dezos de La Roquette, 2 Bände, Paris: E. Ducrocq 1865/1869, Band 1, S. 1–3.Humboldt. Correspondance inédite scientifique et littéraire, herausgegeben von Jean Bernard Marie Alexandre Dezos de La Roquette, 2 Bände, Paris: E. Ducrocq 1865/1869, Band 2, S. 392–393.Die Jugendbriefe Alexander von Humboldts 1787–1799, herausgegeben von Ilse Jahn und Fritz G. Lange, Berlin: Akademie 1973, S. 167–168.",,48.85341,2.3488
24,1792-Lettre_de_M-2,I.22,2640.0,"Lettre de M. de Homboldt, à M. De La Métherie, sur la couleur verte des végétaux qui ne sont pas exposés à la lumiere","in: L’Esprit des journaux français et étrangers 6 (Juni 1792), S. 358–360.",Französisch,Paris,1792,,,48.85341,2.3488
25,1792-Mineral_Beobacht_ueber-1,I.23,1047.0,A. v. Humboldt Mineral. Beobacht. über einige Basalte am Rhein. 1790. p. 85.,"in: Annalen der Botanick 1:3 (1792), S. 243–244.",Deutsch,Zürich,1792,,"Alexander von Humboldt, Mineralogische Beobachtungen über einige Basalte am Rhein, Braunschweig 1790, S. 85–86.",47.36667,8.55
26,1792-Plantas_subterraneas_descripsit-1,I.24,8117.0,Plantas subterraneas descripsit Fr. A. ab Humboldt Ü,"in: Annalen der Botanick 1:3 (1792), S. 53–58.",Latein,Zürich,1792,,,47.36667,8.55
27,1792-Saggio_di_Litologia-1,I.25,21193.0,Saggio di Litologia Vesuviana dedicato A. S. M. la Regina delle due Sicilie dal Cav. Giuseppe Gioeni de Duchi d’Angio Napoli 1790. (300 Seiten) 8. [Besprechung],"in: Bergmännisches Journal 5:1:5 (Mai 1792), S. 449–464.",Deutsch,Annaberg; Freiberg,1792,,,,
28,1792-Ueber_eine_zweifache-1,I.26,3201.0,Ueber eine zweifache Prolification der Cardamine pratensis,"in: Annalen der Botanick 1:3 (1792), S. 5–7.",Deutsch,Zürich,1792,,,47.36667,8.55
29,1792-Versuch_ueber_einige-1,I.27,108663.0,Versuch über einige physikalische und chemische Grundsätze der Salzwerkskunde,"in: Bergmännisches Journal 5:1:1 (Januar 1792), S. 1–45; 5:1:2 (Februar 1792), S. 97–141, Tafel.",Deutsch,Annaberg; Freiberg,1792,,,,
30,1792-Versuche_und_Beobachtungen-1,I.28,15038.0,Versuche und Beobachtungen über die grüne Farbe unterirrdischer Vegetabilien,"in: Journal der Physik 5:2 (1792), S. 195–204.",Deutsch,Leipzig,1792,,,51.33962,12.37129
31,1792-Vom_Hrn_v_Humboldt_in_Freiberg-1,I.29,3813.0,Vom Hrn. v. Humboldt in Freiberg,"in: Chemische Annalen für die Freunde der Naturlehre, Arzneygelahrtheit, Haushaltungskunst und Manufacturen 9:1:1 (1792), S. 70–72.",Deutsch,Helmstedt,1792,"Die Jugendbriefe Alexander von Humboldts 1787–1799, herausgegeben von Ilse Jahn und Fritz G. Lange, Berlin: Akademie 1973, S. 149-151.",,52.2279,11.00985
32,1792-Vom_Hrn_v_Humboldt_in_Freiberg-2-neu,I.29,3373.0,"De M. de Humbaldt, à Freyberg","in: Observations sur la physique, sur l’histoire naturelle et sur les arts 41:2:6 (Dezember 1792), S. 470–471.",Französisch,Paris,1792,,,48.85341,2.3488
33,1792-Vom_Hrn_v_Humboldt_in_Freiberg-3-neu,I.29,2847.0,Estratti di lettere di diversi chimici al Sig. Crell del Sig. De Humbaldt a Freyberg,"in: Giornale fisico-medico ossia raccolta di osservazioni sopra la Fisica, Matematica, Chimica, Storia Naturale, Medicina, Chirurgia, Arti e Agricoltura 6:1 (1793), S. 165–167.",Italienisch,Pavia,1793,,,45.19205,9.15917
34,1792-Vom_Hrn_v_Humboldt_in_Freyberg-1,I.30,2243.0,Vom Hrn. v. Humboldt in Freyberg,"in: Chemische Annalen für die Freunde der Naturlehre, Arzneygelahrtheit, Haushaltungskunst und Manufacturen 9:1:3 (1792), S. 254–255.",Deutsch,Helmstedt,1792,"Die Jugendbriefe Alexander von Humboldts 1787–1799, herausgegeben von Ilse Jahn und Fritz G. Lange, Berlin: Akademie 1973, S. 168–169.",,52.2279,11.00985
35,1792-Vom_Hrn_v_Humboldt_in_Freyberg-2,I.30,2560.0,"Lettre de M. de Humbolds, à M. Crell, sur ses nouvelles observations sur la végétation souterraine","in: Observations sur la physique, sur l’histoire naturelle et sur les arts 43:2:5 (Brumaire an 2 [November 1793]), S. 393–394.",Französisch,Paris,1793,,,48.85341,2.3488
36,1792-Von_Hr_von-1,I.31,4058.0,Von Hr. von Humboldt,"in: Annalen der Botanick 1:3 (1792), S. 236–239.",Deutsch,Zürich,1792,"Lange, Fritz G[ustav]: Alexander von Humbolt und Paulus Usteri. Unbekannte Jugendbriefe Humboldts, in: Beiträge zur Geschichte der Naturwissenschaften, Technik und Medizin, herausgegeben zum 60. Geburtstag Gerhard Harigs (= Schriftenreihe für Geschichte der Naturwissenschaften, Technik und Medizin. Beiheft), Leipzig 1964, S. 224-–224.Die Jugendbriefe Alexander von Humboldts 1787–1799, herausgegeben von Ilse Jahn und Fritz G. Lange, Berlin: Akademie 1973, S. 164–167. [nach Handschriftenmanuskript]",,47.36667,8.55
37,1792-xxx_Anzeige-1,I.32,989.0,[Anzeige],"in: Intelligenzblatt der Allgemeinen Literatur-Zeitung 20 (11. Februar 1792), Sp. 160.",Deutsch,Jena; Leipzig,1792,,,50.92878,11.5899
38,1793-xxx_Brief_an_Hermbstaedt-1-neu,I.33,3332.0,[Brief an Sigismund Friedrich Hermbstaedt],"in: Sigismund Friedrich Hermbstaedt, „Rechtfertigung gegen Hrn. Pro. Gren’s hydrostatische Einwürfe, den Gehalt an Sauerstoffgas im Quecksilberkalke betreffend. In einem Briefe an den Hrn. Pr. Gren in Halle“, in: Chemische Annalen für die Freunde der Naturlehre, Arzneygelahrtheit, Haushaltungskunst und Manufakturen 1:3:4 (1793), S. 324–349, Humboldts Brief S. 333–335.",Deutsch,Helmstedt,1793,"Die Jugendbriefe Alexander von Humboldts 1787–1799, herausgegeben von Ilse Jahn und Fritz G. Lange, Berlin: Akademie 1973, S. 237–238.",,52.2279,11.00985
39,1793-xxx_Selbstanzeige_von_Florae-1-neu,I.34,2649.0,[Selbstanzeige von Florae Fribergensis specimen],"in: Intelligenzblatt der Allgemeinen Literatur-Zeitung 54 (1. Juni 1793), Sp. 428–429.",Deutsch,Jena; Leipzig,1793,,,50.92878,11.5899
40,1793-xxx_Selbstanzeige_von_Florae-2,I.34,2659.0,[Selbstanzeige von Florae Fribergensis specimen],"in: Annalen der Botanick 2:6 (1793), S. 164–166.",Deutsch,Zürich,1793,,,47.36667,8.55
41,1794-xxx_Richtigstellung-1,I.35,1032.0,[Richtigstellung],"in: Intelligenzblatt der Allgemeinen Literatur-Zeitung 20 (26. Februar 1794), Sp. 160.",Deutsch,Jena; Leipzig,1794,,,50.92878,11.5899
42,1795-Aus_einem_Briefe-1,I.36,5093.0,Aus einem Briefe des Herrn Oberbergraths von Humboldt an Herrn Hofrath Blumenbach,"in: Neues Journal der Physik 2:4 (1795), S. 471–473.",Deutsch,Leipzig,1795,"Die Jugendbriefe Alexander von Humboldts 1787–1799, herausgegeben von Ilse Jahn und Fritz G. Lange, Berlin: Akademie 1973, S. 454–456.",,51.33962,12.37129
43,1795-Die_Lebenskraft_oder-1,I.37,10298.0,Die Lebenskraft oder der Rhodische Genius. Eine Erzählung,"in: Die Horen 1:5 (1795), S. 90–96.",Deutsch,Tübingen,1795,"„Die Lebenskraft oder der rhodische Genius. Von Alexander von Humboldt. Bei der Wiederkehr seines 150. Geburtstags besprochen von A. Hansen.“, in: Naturwissenschaftliche Wochenschrift 34 (1919), S. 526–537.Alexander von Humboldt, Das große Lesebuch, herausgegeben von Oliver Lubrich, Frankfurt/M.: Fischer 2009, S. 9–14.","Alexander Humboldt, Ansichten der Natur, Zweite verbesserte und vermehrte Ausgabe, Stuttgart und Tübingen: Cotta 1826, Bd. 2, S. 187–200.Alexander von Humboldt, Ansichten der Natur, Dritte verbesserte und vermehrte Ausgabe, Stuttgart und Tübingen: Cotta 1849, Bd. 2, S. 299–314.",48.52266,9.05222
44,1795-Die_Lebenskraft_oder-2,I.37,10080.0,"Жизненная сила, или генiй родосский. (Сочиненiе Б. Александра Гумбольдта) [Žiznennaja sila, ili genij rodosskij. (Sočinenie B. Aleksandra Gumbolʹdta)]","in: Moskovskij telegraf 30:24 (1829), S. 423–431.",Russisch,Moskau,1829,,,55.75222,37.61556
45,1795-Die_Lebenskraft_oder-3-neu,I.37,10035.0,"Alex. v. Humboldt, die Lebenskraft etc.","in: Robert Heinrich Hiecke, Handbuch Deutscher Prosa für obere Gymnasialclassen, Zeitz: Immanuel Webel/Leipzig: Eduard Eisenach 1835, S. 354–357.",Deutsch,Leipzig; Zeitz,1835,,,51.33962,12.37129
46,1795-Die_Lebenskraft_oder-4-neu,I.37,9931.0,Die Lebenskraft oder der rhodische Genius,"in: Gustav Michaelis, Die Vereinfachungen der deutschen Rechtschreibung vom Standpunkte der Stolzeschen Stenographie beleuchtet, Berlin: Franz Duncker 1854, S. 151–156.",Deutsch,Berlin,1854,,,52.52437,13.41053
47,1795-Die_Lebenskraft_oder-5,I.37,9928.0,Жизненная сила или родосскiй генiй. (Статья Ал. Гумбольдта.) [Žiznennaja sila ili rodosskij genij. (Statʹja Al. Gumbolʹdta.)],"in: Věstnik estestvennych nauk 3:1 (1856), Sp. 5–10.",Russisch,Moskau,1856,,,55.75222,37.61556
48,1795-Etwas_ueber_die-1,I.38,3349.0,Etwas über die lebendige Muskelfaser als anthracoscopische Substanz,"in: Chemische Annalen für die Freunde der Naturlehre, Arzneygelahrtheit, Haushaltungskunst und Manufakturen 12:2:7 (1795), S. 3–5.",Deutsch,Helmstedt,1795,"Die Jugendbriefe Alexander von Humboldts 1787–1799, herausgegeben von Ilse Jahn und Fritz G. Lange, Berlin: Akademie 1973, S. 440–441.",,52.2279,11.00985
49,1795-Leipzig_b_Crusius-1,I.39,12265.0,"Leipzig, b. Crusius: Widenmann’s Handbuch des oryktognostischen Theils der Mineralogie. (Mit einer Farbentabelle und einer Kupfertafel.) 1794. 1040 S. 8. [Besprechung]","in: Allgemeine Literatur-Zeitung 124 (1. Mai 1795), Sp. 225–229.",Deutsch,Jena; Leipzig,1795,,,50.92878,11.5899
50,1795-Marburg_b_Bayrhoffer-1,I.40,7703.0,"Marburg, b. Bayrhoffer: Das Hessische Mineralien-Cabinet bey der Fürstl. Hessischen Universität Marburg beschrieben von J. S. Waldin, Prof. der Mathem. u. Physik. 1. St. 1791. 2. St. 1792. 3. St. 1792. 8. [Besprechung]","in: Allgemeine Literatur-Zeitung 128 (6. Mai 1795), Sp. 257–259.",Deutsch,Jena; Leipzig,1795,,,50.92878,11.5899
51,1795-Ueber_Grubenwetter_und-1,I.42,30777.0,Ueber Grubenwetter und die Verbreitung des Kohlenstoffs in geognostischer Hinsicht,"in: Chemische Annalen für die Freunde der Naturlehre, Arzneygelahrtheit, Haushaltungskunst und Manufakturen 12:2:8 (1795), S. 99–119.",Deutsch,Helmstedt,1795,,,52.2279,11.00985
52,1795-Ueber_die_gereitzte-1,I.41,24232.0,Ueber die gereitzte Muskelfaser,"in: Neues Journal der Physik 2:2 (1795), S. 115–129.",Deutsch,Leipzig,1795,"Alexander von Humboldt, Das große Lesebuch,  herausgegeben von Oliver Lubrich, Frankfurt/M.: Fischer 2009, S. 15–26.",,51.33962,12.37129
53,1795-xxx_Brief_an_Gehler-1-neu,I.43,1919.0,[Brief an Johann Samuel Traugott Gehler],"in: Johann Samuel Traugott Gehler, Physikalisches Wörterbuch oder Versuch einer Erklärung der vornehmsten Begriffe und Kunstwörter der Naturlehre mit kurzen Nachrichten von der Geschichte der Erfindungen und Beschreibungen der Werkzeuge begleitet, 5 Bände, Leipzig: Schwickert 1787–1795, Band 5, S. 294–295.",Deutsch,Leipzig,1795,"Die Jugendbriefe Alexander von Humboldts 1787–1799, herausgegeben von Ilse Jahn und Fritz G. Lange, Berlin: Akademie 1973, S. 418.",,51.33962,12.37129
54,1795-xxx_Richtigstellung-1,I.44,641.0,[Richtigstellung],"in: Intelligenzblatt der Allgemeinen Literatur-Zeitung 80 (22. Juli 1795), Sp. 640.",Deutsch,Jena; Leipzig,1795,,,50.92878,11.5899
55,1796-Ankuendigung-1,I.45,5146.0,Ankündigung,"in: Medicinisch-chirurgische Zeitung 2:49 (20. Juni 1796), S. 414–416.",Deutsch,Salzburg,1796,,,47.79941,13.04399
56,1796-Ankuendigung-2,I.45,5028.0,[Ankündigung],"in: Intelligenzblatt der Allgemeinen Literatur-Zeitung 64 (25. Mai 1796), Sp. 524–526.",Deutsch,Jena; Leipzig,1796,,,50.92878,11.5899
57,1796-Anzeige_fuer_Physiker-1,I.46,3992.0,Anzeige für Physiker und Geognosten,"in: Intelligenzblatt der Allgemeinen Literatur-Zeitung 169 (14. Dezember 1796), Sp. 1447–1448.",Deutsch,Jena; Leipzig,1796,,,50.92878,11.5899
58,1796-Anzeige_fuer_Physiker-2,I.46,4151.0,"Anzeige für Physiker und Geognosten; Von einem reinen, äußerst magnetischen, Serpentinstein","in: Magazin für das Neueste aus der Physik und Naturgeschichte 11:3 (1797), S. 28–31.",Deutsch,Gotha,1797,,,50.94823,10.70193
59,1796-Anzeige_fuer_Physiker-3,I.46,4060.0,"Lettre de M. de Humboldt, sur une serpentine verte, qui possède à un haut degré la polarité magnétique. Traduite de l’Allemand par le citoyen Halma.","in: Annales de chimie 22 (1797), S. 47–50.",Französisch,Paris,1797,"Humboldt. Correspondance scientifique et littéraire, herausgegeben von Jean Bernard Marie Alexandre Dezos de La Roquette, 2 Bände, Paris: E. Ducrocq 1865/1869, Band 1, S. 13–15.Die Jugendbriefe Alexander von Humboldts 1787–1799, herausgegeben von Ilse Jahn und Fritz G. Lange, Berlin: Akademie 1973, S. 542–543.",,48.85341,2.3488
60,1796-Anzeige_fuer_Physiker-4,I.46,4233.0,Découverte minéralogique,"in: Bibliothèque britannique 4 (1797), S. 186–188.",Französisch,Genf,1797,,,46.20222,6.14569
61,1796-Lettre_de_F_Humboldt-1,I.47,16018.0,"Lettre de F. Humboldt à M. Pictet, professeur de philosophie à Genève, sur l’influence de l’acide muriatique oxygené et sur l’irritabilité de la fibre organisée","in: Magasin encyclopédique, ou Journal des Sciences, des Lettres et des Arts 1:6 (1795/96), S. 462–472.",Französisch,Paris,1795,"Humboldt. Correspondance scientifique et littéraire, herausgegeben von Jean Bernard Marie Alexandre Dezos de La Roquette, 2 Bände, Paris: E. Ducrocq 1865/1869, Band 1, S. 3–12; Die Jugendbriefe Alexander von Humboldts 1787-1799, herausgegeben von Ilse Jahn und Fritz G. Lange, Berlin: Akademie 1973, S. 486–487 [nach La Roquette].",,48.85341,2.3488
62,1796-Lettre_de_F_Humboldt-2,I.47,15914.0,"Lettre de F. Humboldt à Pictet, professeur de philosophie à Genève, sur l’influence de l’acide muriatique oxygéné, et sur l’irritabilité de la fibre organisée","in: Mémoires de la Société Médicale d’Emulation de Paris pour l’an Ve de la République (An 6 [1798]), S. 302–310.",Französisch,Paris,1798,,,48.85341,2.3488
63,1796-Lettre_de_F_Humboldt-3-neu,I.47,15912.0,"Lettre de F. Humboldt à M. Pictet, professeur de philosophie à Genève, sur l’influence de l’acide muriatique oxygené et sur l’irritabilité de la fibre organisée; lue à l’institut national","in: Les Annales de la République Française depuis l’établissement de la Constitution de l’an trois 6 (An 7 [1798/1799]), S. 47–53.",Französisch,Paris,1798,,,48.85341,2.3488
64,1796-Lettre_de_F_Humboldt-4-neu,I.47,15899.0,"Lettre de F. Humboldt à M. Pictet, professeur de philosophie à Genève, sur l’influence de l’acide muriatique oxigéné, et sur l’irritabilité de la fibre organi-sée; communiquée à la Société Médicale d’Emulation","in: Mémoires de la Société Médicale d’Emulation de Paris pour l’an Ve de la République (Seconde Edition, An 11 [1802]), S. 458–466.",Französisch,Paris,1802,,,48.85341,2.3488
65,1796-Lettre_de_F_Humboldt-5,I.47,14628.0,"F. Humboldt’s Brief an Hrn. Professor Pictet, über die Wirkung der übersauren Salzsäure und die Irritabilität der organischen Fieber","in: Auserlesene Beobachtungen der medizinischen wetteifernden Gesellschaft zu Paris 1 (1802), S. 254–261.",Deutsch,Leipzig,1802,,,51.33962,12.37129
66,1796-Neue_Versuche_ueber-1,I.48,31773.0,"Neue Versuche über den Metallreitz, besonders in Hinsicht auf die verschiedenartige Empfänglichkeit der thierischen Organe","in: Neues Journal der Physik 3:2 (1796), S. 165–184.",Deutsch,Leipzig,1796,"Bruhns, Karl [Hrsg.]: Alexander von Humboldt. Eine wissenschaftliche Biographie. Bd. 1. Leipzig 1872, S. 173–174.Humboldt. Correspondance inédite scientifique et littéraire, herausgegeben von Jean Bernard Marie Alexandre Dezos de La Roquette, 2 Bände, Paris: E. Ducrocq 1865/1869, Band 1, S. 15–24.",,51.33962,12.37129
67,1796-Neue_Versuche_ueber-2-neu,I.48,13307.0,Expériences sur la Galvanisme,"in: La Décade philosophique, littéraire et politique 8 (20 Frimaire an 5, 10. Dezember 1796), S. [449]–456.",Französisch,Paris,1796,,,48.85341,2.3488
68,1796-Neue_Versuche_ueber-3-neu,I.48,13420.0,Expériences sur le Galvanisme,"in: L’Esprit des journaux français et étrangers 2 (Ventôse et Germinal an 5, März und April 1797), S. 304–312.",Französisch,Liège,1797,,,50.63373,5.56749
69,1796-Neue_Versuche_ueber-4,I.48,13934.0,"Extrait d’une lettre de M. de Humboldt à M. Blumenbach, contenant de nouvelles expériences sur l’irritation causée par les métaux, relativement à l’impression différente que les animaux en reçoivent","in: Annales de chimie 22 (11 Floréal an 5, 30. April 1797), S. 51–63.",Französisch,Paris,1797,,,48.85341,2.3488
70,1796-Neue_Versuche_ueber-5,I.48,13723.0,"Extract of a Letter from Mr. Humboldt to Mr. Blumenbach, containing new Experiments on the Irritation caused by the Metals with Respect to their different Impressions on the Organs of Animals","in: A Journal of Natural Philosophy, Chemistry, and the Arts 1 (September 1797), S. 256–260.",Englisch,London,1797,,,51.50853,-0.12574
71,1796-Neue_Versuche_ueber-6,I.48,13334.0,"Extract of a letter from M. Humboldt to M. Blumenbach, containing new Experiments on the Irritation caused by the Metals with respect to their different Impressions on the Organs of Animals","in: The Annals of Electricity, Magnetism, and Chemistry; and guardian of experimental science 9:54 (Dezember 1842), S. 522–526.",Englisch,London,1842,,,51.50853,-0.12574
72,1796-Ueber_die_Rindviehseuche-1,I.50,8812.0,Ueber die Rindviehseuche als Nervenfieber behandelt,"in: Neues Magazin für Aerzte 18:5 (1796), S. 421–425.",Deutsch,Leipzig,1796,"Die Jugendbriefe Alexander von Humboldts 1787–1799, herausgegeben von Ilse Jahn und Fritz G. Lange, Berlin: Akademie 1973, S. 566–568.",,51.33962,12.37129
